,site_code,year,habitat.type,plot,ppt_ambient,ppt_drought,n_treat_days,perc_reduction,ppt_drought730,precip,AI,drtpct_map,drtpct_map730,amb_pct,amb_abspct,drtpct_map100,habitat.num,Extreme,Extreme.num,X,mass_category,prop.ave
63,cerrillos.ar,2016,Shrubland,5,331.8225806,176.1935484,224,46.90127837,545.164404,390,0.2468,-0.548221671,0.397857446,-0.14917287,0.14917287,-54.82216708,2,Extr,1,16,GRAMINOID,0.617606931
64,cerrillos.ar,2016,Shrubland,4,331.8225806,176.1935484,224,46.90127837,545.164404,390,0.2468,-0.548221671,0.397857446,-0.14917287,0.14917287,-54.82216708,2,Extr,1,16,GRAMINOID,0.617606931
65,chacra.ar,2016,Shrubland,6,513.7333333,352.6683908,279,31.35185749,442.595894,400,0.2811,-0.118329023,0.106489735,0.284333333,0.284333333,-11.8329023,2,NotExtreme,0,17,GRAMINOID,1
66,chacra.ar,2016,Shrubland,4,513.7333333,352.6683908,279,31.35185749,442.595894,400,0.2811,-0.118329023,0.106489735,0.284333333,0.284333333,-11.8329023,2,NotExtreme,0,17,GRAMINOID,1
67,chacra.ar,2016,Shrubland,5,513.7333333,352.6683908,279,31.35185749,442.595894,400,0.2811,-0.118329023,0.106489735,0.284333333,0.284333333,-11.8329023,2,NotExtreme,0,17,GRAMINOID,1
68,chang.cn,2017,Grassland,11,577,218.74,482,62.09012132,238.0598416,444.9,0.5,-0.508338953,-0.46491382,0.296920656,0.296920656,-50.83389526,1,NotExtreme,0,18,GRAMINOID,0.888373415
69,chang.cn,2017,Grassland,2,577,218.74,482,62.09012132,238.0598416,444.9,0.5,-0.508338953,-0.46491382,0.296920656,0.296920656,-50.83389526,1,NotExtreme,0,18,GRAMINOID,0.888373415
70,chang.cn,2017,Grassland,15,577,218.74,482,62.09012132,238.0598416,444.9,0.5,-0.508338953,-0.46491382,0.296920656,0.296920656,-50.83389526,1,NotExtreme,0,18,GRAMINOID,0.888373415
71,chang.cn,2017,Grassland,5,577,218.74,482,62.09012132,238.0598416,444.9,0.5,-0.508338953,-0.46491382,0.296920656,0.296920656,-50.83389526,1,NotExtreme,0,18,GRAMINOID,0.888373415
72,charleville.au,2017,Grassland,4,164.6,57.61,387,65,635.1974194,451,0.2906,-0.872261641,0.408419999,-0.635033259,0.635033259,-87.22616408,1,Extr,1,19,GRAMINOID,0.020098405
73,charleville.au,2017,Grassland,6,164.6,57.61,387,65,635.1974194,451,0.2906,-0.872261641,0.408419999,-0.635033259,0.635033259,-87.22616408,1,Extr,1,19,GRAMINOID,0.020098405
74,charleville.au,2017,Grassland,2,164.6,57.61,387,65,635.1974194,451,0.2906,-0.872261641,0.408419999,-0.635033259,0.635033259,-87.22616408,1,Extr,1,19,GRAMINOID,0.020098405
75,chilcasdrt.ar,2017,Grassland,52,823.0258065,411.5129032,368,50,939.2758065,950,0.7323,-0.566828523,-0.011288625,-0.133657046,0.133657046,-56.68285229,1,Extr,1,20,GRAMINOID,0.984806765
76,chilcasdrt.ar,2017,Grassland,55,823.0258065,411.5129032,368,50,939.2758065,950,0.7323,-0.566828523,-0.011288625,-0.133657046,0.133657046,-56.68285229,1,Extr,1,20,GRAMINOID,0.984806765
77,chilcasdrt.ar,2017,Grassland,51,823.0258065,411.5129032,368,50,939.2758065,950,0.7323,-0.566828523,-0.011288625,-0.133657046,0.133657046,-56.68285229,1,Extr,1,20,GRAMINOID,0.984806765
78,ciempoz.es,2016,Shrubland,14,366.8,220.72,236,39.82551799,333.6,363.6,0.3751,-0.392959296,-0.082508251,0.00880088,0.00880088,-39.29592959,2,Extr,1,21,GRAMINOID,0
79,ciempoz.es,2016,Shrubland,12,366.8,220.72,236,39.82551799,333.6,363.6,0.3751,-0.392959296,-0.082508251,0.00880088,0.00880088,-39.29592959,2,Extr,1,21,GRAMINOID,0
80,ciempoz.es,2016,Shrubland,6,366.8,220.72,236,39.82551799,333.6,363.6,0.3751,-0.392959296,-0.082508251,0.00880088,0.00880088,-39.29592959,2,Extr,1,21,GRAMINOID,0
81,ciempoz.es,2016,Shrubland,3,366.8,220.72,236,39.82551799,333.6,363.6,0.3751,-0.392959296,-0.082508251,0.00880088,0.00880088,-39.29592959,2,Extr,1,21,GRAMINOID,0
82,ciempoz.es,2016,Shrubland,9,366.8,220.72,236,39.82551799,333.6,363.6,0.3751,-0.392959296,-0.082508251,0.00880088,0.00880088,-39.29592959,2,Extr,1,21,GRAMINOID,0
83,ciempoz.es,2016,Shrubland,2,366.8,220.72,236,39.82551799,333.6,363.6,0.3751,-0.392959296,-0.082508251,0.00880088,0.00880088,-39.29592959,2,Extr,1,21,GRAMINOID,0
84,ciempoz.es,2016,Shrubland,7,366.8,220.72,236,39.82551799,333.6,363.6,0.3751,-0.392959296,-0.082508251,0.00880088,0.00880088,-39.29592959,2,Extr,1,21,GRAMINOID,0
85,cobar.au,2017,Grassland,6,245,85.75,382,65,520.7789247,354,0.2438,-0.757768362,0.471126906,-0.307909605,0.307909605,-75.77683616,1,Extr,1,23,GRAMINOID,0.241302948
86,cobar.au,2017,Grassland,4,245,85.75,382,65,520.7789247,354,0.2438,-0.757768362,0.471126906,-0.307909605,0.307909605,-75.77683616,1,Extr,1,23,GRAMINOID,0.241302948
87,cobar.au,2017,Grassland,2,245,85.75,382,65,520.7789247,354,0.2438,-0.757768362,0.471126906,-0.307909605,0.307909605,-75.77683616,1,Extr,1,23,GRAMINOID,0.241302948
88,cowidrt.ca,2016,Grassland,7,1146.833333,623.5333333,253,45.62999564,1054.282796,1134,1.5498,-0.450146972,-0.070297358,0.011316872,0.011316872,-45.01469724,1,NotExtreme,0,24,GRAMINOID,0.625431953
89,cowidrt.ca,2016,Grassland,14,1146.833333,623.5333333,253,45.62999564,1054.282796,1134,1.5498,-0.450146972,-0.070297358,0.011316872,0.011316872,-45.01469724,1,NotExtreme,0,24,GRAMINOID,0.625431953
90,cowidrt.ca,2016,Grassland,5,1146.833333,623.5333333,253,45.62999564,1054.282796,1134,1.5498,-0.450146972,-0.070297358,0.011316872,0.011316872,-45.01469724,1,NotExtreme,0,24,GRAMINOID,0.625431953
91,cowidrt.ca,2016,Grassland,15,1146.833333,623.5333333,253,45.62999564,1054.282796,1134,1.5498,-0.450146972,-0.070297358,0.011316872,0.011316872,-45.01469724,1,NotExtreme,0,24,GRAMINOID,0.625431953
92,cowidrt.ca,2016,Grassland,10,1146.833333,623.5333333,253,45.62999564,1054.282796,1134,1.5498,-0.450146972,-0.070297358,0.011316872,0.011316872,-45.01469724,1,NotExtreme,0,24,GRAMINOID,0.625431953
93,credoj.au,2016,Shrubland,19,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,25,GRAMINOID,0.193972911
94,credoj.au,2016,Shrubland,11,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,25,GRAMINOID,0.193972911
95,credoj.au,2016,Shrubland,18,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,25,GRAMINOID,0.193972911
96,credoj.au,2016,Shrubland,15,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,25,GRAMINOID,0.193972911
97,credoj.au,2016,Shrubland,13,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,25,GRAMINOID,0.193972911
98,credom.au,2016,Shrubland,4,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,26,GRAMINOID,0.12080804
99,credom.au,2016,Shrubland,5,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,26,GRAMINOID,0.12080804
100,credom.au,2016,Shrubland,3,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,26,GRAMINOID,0.12080804
101,credom.au,2016,Shrubland,10,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,26,GRAMINOID,0.12080804
102,credom.au,2016,Shrubland,7,319.5406224,136.4743298,342,57.29046004,269.4164007,259.6,0.172,-0.474289947,0.037813562,0.23089608,0.23089608,-47.42899468,2,NotExtreme,0,26,GRAMINOID,0.12080804
103,dang.cn,2018,Grassland,48,363.9799373,222.3124381,234,38.9217879,493.2129165,419,0.4006,-0.469421389,0.177119132,-0.131312799,0.131312799,-46.94213888,1,Extr,1,27,GRAMINOID,0.725549248
104,dang.cn,2018,Grassland,53,363.9799373,222.3124381,234,38.9217879,493.2129165,419,0.4006,-0.469421389,0.177119132,-0.131312799,0.131312799,-46.94213888,1,Extr,1,27,GRAMINOID,0.725549248
105,dang.cn,2018,Grassland,215,363.9799373,222.3124381,234,38.9217879,493.2129165,419,0.4006,-0.469421389,0.177119132,-0.131312799,0.131312799,-46.94213888,1,Extr,1,27,GRAMINOID,0.725549248
106,dang.cn,2018,Grassland,32,363.9799373,222.3124381,234,38.9217879,493.2129165,419,0.4006,-0.469421389,0.177119132,-0.131312799,0.131312799,-46.94213888,1,Extr,1,27,GRAMINOID,0.725549248
107,dang.cn,2018,Grassland,19,363.9799373,222.3124381,234,38.9217879,493.2129165,419,0.4006,-0.469421389,0.177119132,-0.131312799,0.131312799,-46.94213888,1,Extr,1,27,GRAMINOID,0.725549248
108,elvadrt.ee,2017,Grassland,3,606.2,230.356,442,62,581.342,680,1.0945,-0.661241176,-0.145085294,-0.108529412,0.108529412,-66.12411765,1,Extr,1,28,GRAMINOID,0.54142229
109,elvadrt.ee,2017,Grassland,1,606.2,230.356,442,62,581.342,680,1.0945,-0.661241176,-0.145085294,-0.108529412,0.108529412,-66.12411765,1,Extr,1,28,GRAMINOID,0.54142229
110,elvadrt.ee,2017,Grassland,5,606.2,230.356,442,62,581.342,680,1.0945,-0.661241176,-0.145085294,-0.108529412,0.108529412,-66.12411765,1,Extr,1,28,GRAMINOID,0.54142229
111,esw.ca,2016,Grassland,4,968.0602151,786.3424731,136,18.77132632,807.8096774,1011.5,1.0935,-0.222597654,-0.201374516,-0.042945907,0.042945907,-22.25976539,1,Extr,1,29,GRAMINOID,0.086117555
