"","site_code","Extreme","mean_DS3","DS3LowerCI","DS3UpperCI","mean_drt","drtLowerCI","drtUpperCI"
"85","sevmixed.us","Grassland_Extr",-0.776311124728721,-1.25972706342546,-0.292895186031983,-0.670049456,-0.670049456,-0.670049456
"86","sgsdrt.us","Grassland_Extr",-2.1235646773394,-2.56165588418149,-1.68547347049731,-0.681636364,-0.681636364,-0.681636364
"87","skotsvar.no","Shrubland_Extr",-0.0279375741365924,-0.297532888480253,0.241657740207068,-0.773907131,-0.773907131,-0.773907131
"88","slp.us","Grassland_Extr",-0.289681628825001,-0.468445743264121,-0.110917514385881,-0.492110509,-0.492110509,-0.492110509
"89","sonora.us","Grassland_Extr",-0.488935202959265,-1.110582714158,0.132712308239472,-0.626075682,-0.626075682,-0.626075682
"90","spvdrt.ar","Grassland_NotExtreme",0.222035671965926,-1.38716981411843,1.83124115805028,-0.157367962,-0.157367962,-0.157367962
"91","syferkuil.za","Grassland_Extr",-0.185346467669858,-0.87784878893836,0.507155853598643,-0.489174477,-0.489174477,-0.489174477
"92","torla.es","Grassland_NotExtreme",0.185733134479238,0.0313102781781656,0.340155990780311,0.110967059,0.110967059,0.110967059
"93","ukulingadrt.za","Grassland_Extr",-0.170184156536031,-0.626274770472915,0.285906457400853,-0.50505187,-0.50505187,-0.50505187
"94","urat.cn","Grassland_NotExtreme",-1.60517458942105,-2.5323238501819,-0.678025328660199,-0.273014345,-0.273014345,-0.273014345
"95","validate.fr","Grassland_Extr",-0.633090043159137,-1.0424389152961,-0.223741171022178,-0.713458228,-0.713458228,-0.713458228
"96","wytham.uk","Grassland_Extr",-0.7632055377377,-1.04190006017494,-0.484511015300459,-0.357358795,-0.357358795,-0.357358795
"97","xilin.cn","Grassland_Extr",-0.401416662450723,-1.01549951405236,0.212666189150915,-0.497928994,-0.497928994,-0.497928994
"98","yanchi.cn","Grassland_NotExtreme",-0.241137483284276,-0.568242105525349,0.0859671389567979,-0.187699189,-0.187699189,-0.187699189
"99","yarradrt.au","Grassland_NotExtreme",-0.159719531714463,-0.538302444436703,0.218863381007778,-0.1740125,-0.1740125,-0.1740125
"100","youyu.cn","Grassland_NotExtreme",0.12280851504321,-0.0489658828216487,0.294582912908068,-0.141082396,-0.141082396,-0.141082396
"101","mean_DS3","Below zero",-0.426176312844825,-0.561431444606672,-0.290921181082978,-0.565436195840909,-0.614067567189518,-0.5168048244923
"102","mean_DS3","Above zero",-0.235065742091984,-0.371306792924692,-0.098824691259276,-0.262592352625,-0.317953256816021,-0.207231448433979
